Hotel_Name,Location,Price,Rating,Score,Total_Review,Link
Hotel Gaur Heritage Inn,Bhopal,"1,425",NaN,NaN,NaN,https://www.booking.com/hotel/in/gaur-heritage-inn.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1389851904_410969580_2_0_0_872627&highlighted_blocks=1389851904_410969580_2_0_0_872627&matching_block_id=1389851904_410969580_2_0_0_872627&sr_pri_blocks=1389851904_410969580_2_0_0_872627_142500&from=searchresults
FabHotel Oasis Yellow Courtyard,Bhopal,"1,305",Very good ,8.0,764 reviews,https://www.booking.com/hotel/in/townhouse-713-oasis-yellow-courtyard.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=798907904_410205186_2_2_0_879725&highlighted_blocks=798907904_410205186_2_2_0_879725&matching_block_id=798907904_410205186_2_2_0_879725&sr_pri_blocks=798907904_410205186_2_2_0_879725_130478&from=searchresults
Sapphire Blue,Bhopal,"4,100",Very good ,8.0,15 reviews,https://www.booking.com/hotel/in/sapphire-blue.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1266892001_408452317_2_2_0&highlighted_blocks=1266892001_408452317_2_2_0&matching_block_id=1266892001_408452317_2_2_0&sr_pri_blocks=1266892001_408452317_2_2_0__410000&from=searchresults
Lemon Tree Hotel Bhopal,Bhopal,"5,600",Review score ,6.9,95 reviews,https://www.booking.com/hotel/in/surendra-vilas-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=547621708_380590708_2_42_0&highlighted_blocks=547621708_380590708_2_42_0&matching_block_id=547621708_380590708_2_42_0&sr_pri_blocks=547621708_380590708_2_42_0__560000&from=searchresults
Enrise by Sayaji Bhopal,Bhopal,"4,000",Review score ,6.2,30 reviews,https://www.booking.com/hotel/in/sayaji-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=181611002_365076867_0_2_0&highlighted_blocks=181611002_365076867_0_2_0&matching_block_id=181611002_365076867_0_2_0&sr_pri_blocks=181611002_365076867_0_2_0__400000&from=searchresults
Super Townhouse Lalghati Near Airport,Bhopal,"1,131",Review score ,4.9,24 reviews,https://www.booking.com/hotel/in/nirmal-residency-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1129555508_395604406_2_2_0&highlighted_blocks=1129555508_395604406_2_2_0&matching_block_id=1129555508_395604406_2_2_0&sr_pri_blocks=1129555508_395604406_2_2_0__113111&from=searchresults
FabHotel Prime Oasis Orange,Bhopal,"1,647",Good ,7.8,118 reviews,https://www.booking.com/hotel/in/fabhotel-prime-oasis-orange.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1146445701_410204654_2_0_0_880676&highlighted_blocks=1146445701_410204654_2_0_0_880676&matching_block_id=1146445701_410204654_2_0_0_880676&sr_pri_blocks=1146445701_410204654_2_0_0_880676_164689&from=searchresults
Effotel By Sayaji Bhopal,Bhopal,"4,550",Good ,7.0,17 reviews,https://www.booking.com/hotel/in/effotel-by-sayaji-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=981392305_370412517_2_42_0&highlighted_blocks=981392305_370412517_2_42_0&matching_block_id=981392305_370412517_2_42_0&sr_pri_blocks=981392305_370412517_2_42_0__455000&from=searchresults
Hotel O MANGLAM PALACE,Bhopal,545,Review score ,1.7,11 reviews,https://www.booking.com/hotel/in/oyo-78787-manglam-palace.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=712981802_377524454_2_2_0&highlighted_blocks=712981802_377524454_2_2_0&matching_block_id=712981802_377524454_2_2_0&sr_pri_blocks=712981802_377524454_2_2_0__54526&from=searchresults
"Hotel LA PEARL, Bhopal",Bhopal,"2,834",Exceptional ,9.5,2 reviews,https://www.booking.com/hotel/in/la-pearl-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1202778201_392531147_2_0_0&highlighted_blocks=1202778201_392531147_2_0_0&matching_block_id=1202778201_392531147_2_0_0&sr_pri_blocks=1202778201_392531147_2_0_0__283437&from=searchresults
FabHotel Casa D-vine,Bhopal,"1,460",NaN,NaN,NaN,https://www.booking.com/hotel/in/fabhotel-seint-stay.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1388976401_410892672_2_0_0&highlighted_blocks=1388976401_410892672_2_0_0&matching_block_id=1388976401_410892672_2_0_0&sr_pri_blocks=1388976401_410892672_2_0_0__146000&from=searchresults
FabHotel Prime Oasis Blue,Bhopal,"1,994",Very good ,8.2,716 reviews,https://www.booking.com/hotel/in/capital-o-29355-oasis-blue-bhopal123456789101112.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=502682405_410205473_2_2_0_879670&highlighted_blocks=502682405_410205473_2_2_0_879670&matching_block_id=502682405_410205473_2_2_0_879670&sr_pri_blocks=502682405_410205473_2_2_0_879670_199438&from=searchresults
FabHotel CSFC Near Bhopal Railway Station,Bhopal,"1,032",Good ,7.6,441 reviews,https://www.booking.com/hotel/in/oyo-11546-csfc.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=320758403_410205570_2_2_0_879676&highlighted_blocks=320758403_410205570_2_2_0_879676&matching_block_id=320758403_410205570_2_2_0_879676&sr_pri_blocks=320758403_410205570_2_2_0_879676_103194&from=searchresults
Regenta Place Bhopal by Royal Orchid Hotels Limited,Bhopal,"4,051",Very good ,8.1,39 reviews,https://www.booking.com/hotel/in/regenta-place-bhopal-by-royal-orchid-hotels-limited.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=965995701_369091317_2_42_0&highlighted_blocks=965995701_369091317_2_42_0&matching_block_id=965995701_369091317_2_42_0&sr_pri_blocks=965995701_369091317_2_42_0__405090&from=searchresults
"Hotel Eleven Heights ,Bhopal",Bhopal,"1,349",Very good ,8.2,24 reviews,https://www.booking.com/hotel/in/cherrystay-11-heights.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=831944501_406559309_2_2_0&highlighted_blocks=831944501_406559309_2_2_0&matching_block_id=831944501_406559309_2_2_0&sr_pri_blocks=831944501_406559309_2_2_0__134865&from=searchresults
FabHotel Shree Regency,Bhopal,902,Good ,7.2,492 reviews,https://www.booking.com/hotel/in/oyo-27611-shree-regency-bhopal12345678.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=452181404_410205507_2_2_0_879683&highlighted_blocks=452181404_410205507_2_2_0_879683&matching_block_id=452181404_410205507_2_2_0_879683&sr_pri_blocks=452181404_410205507_2_2_0_879683_90207&from=searchresults
Giovanni Suites,Bhopal,"3,105",Good ,7.8,168 reviews,https://www.booking.com/hotel/in/giovanni-suits.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=306826710_179863610_2_42_0&highlighted_blocks=306826710_179863610_2_42_0&matching_block_id=306826710_179863610_2_42_0&sr_pri_blocks=306826710_179863610_2_42_0__310500&from=searchresults
HOTEL JALSA RETREAT,Bhopal,"3,119",Very good ,8.4,14 reviews,https://www.booking.com/hotel/in/jalsa-retreat.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=932858201_375551686_2_0_0&highlighted_blocks=932858201_375551686_2_0_0&matching_block_id=932858201_375551686_2_0_0&sr_pri_blocks=932858201_375551686_2_0_0__311920&from=searchresults
Super Collection O MP Nagar,Bhopal,"1,746",Fabulous ,8.7,184 reviews,https://www.booking.com/hotel/in/oyo-24646-gaurav-palace.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=1250520801_397854646_2_0_0&highlighted_blocks=1250520801_397854646_2_0_0&matching_block_id=1250520801_397854646_2_0_0&sr_pri_blocks=1250520801_397854646_2_0_0__174584&from=searchresults
FabHotel The Oasis,Bhopal,"1,210",Very good ,8.0,546 reviews,https://www.booking.com/hotel/in/oyo-premium-mp-nagar-zone-ii.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-10&checkout=2025-04-11&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2bf1806267910194&srepoch=1744136133&all_sr_blocks=151966905_410205690_2_0_0_880681&highlighted_blocks=151966905_410205690_2_0_0_880681&matching_block_id=151966905_410205690_2_0_0_880681&sr_pri_blocks=151966905_410205690_2_0_0_880681_121025&from=searchresults
FabHotel Prime Oasis Orange,Bhopal,"1,464",Good ,7.8,118 reviews,https://www.booking.com/hotel/in/fabhotel-prime-oasis-orange.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=1146445701_410204654_2_0_0_880676&highlighted_blocks=1146445701_410204654_2_0_0_880676&matching_block_id=1146445701_410204654_2_0_0_880676&sr_pri_blocks=1146445701_410204654_2_0_0_880676_146390&from=searchresults
Golden Tulip Bhopal,Bhopal,"3,995",Fabulous ,8.8,90 reviews,https://www.booking.com/hotel/in/golden-tulip-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=1064155110_378774573_2_2_0&highlighted_blocks=1064155110_378774573_2_2_0&matching_block_id=1064155110_378774573_2_2_0&sr_pri_blocks=1064155110_378774573_2_2_0__399500&from=searchresults
Radisson Bhopal,Bhopal,"6,799",Superb ,9.0,827 reviews,https://www.booking.com/hotel/in/radisson-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=769867401_334773067_2_42_0_25420&highlighted_blocks=769867401_334773067_2_42_0_25420&matching_block_id=769867401_334773067_2_42_0_25420&sr_pri_blocks=769867401_334773067_2_42_0_25420_679900&from=searchresults
Taj Lakefront Bhopal,Bhopal,"10,799",Fabulous ,8.9,685 reviews,https://www.booking.com/hotel/in/taj-lakefront-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=776943002_336007236_2_41_0&highlighted_blocks=776943002_336007236_2_41_0&matching_block_id=776943002_336007236_2_41_0&sr_pri_blocks=776943002_336007236_2_41_0__1079900&from_sustainable_property_sr=1&from=searchresults
Lemon Tree Hotel Bhopal,Bhopal,"4,500",Review score ,6.9,95 reviews,https://www.booking.com/hotel/in/surendra-vilas-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=547621708_380590708_2_42_0&highlighted_blocks=547621708_380590708_2_42_0&matching_block_id=547621708_380590708_2_42_0&sr_pri_blocks=547621708_380590708_2_42_0__450000&from=searchresults
Hotel Aayansh Palace,Bhopal,"1,853",NaN,NaN,NaN,https://www.booking.com/hotel/in/aayansh-palace-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=1392234701_411183698_2_0_0&highlighted_blocks=1392234701_411183698_2_0_0&matching_block_id=1392234701_411183698_2_0_0&sr_pri_blocks=1392234701_411183698_2_0_0__185250&from=searchresults
FabHotel Prime Oasis Blue,Bhopal,"1,773",Very good ,8.2,716 reviews,https://www.booking.com/hotel/in/capital-o-29355-oasis-blue-bhopal123456789101112.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=502682405_410205473_2_2_0_879670&highlighted_blocks=502682405_410205473_2_2_0_879670&matching_block_id=502682405_410205473_2_2_0_879670&sr_pri_blocks=502682405_410205473_2_2_0_879670_177278&from=searchresults
Effotel By Sayaji Bhopal,Bhopal,"4,050",Good ,7.0,17 reviews,https://www.booking.com/hotel/in/effotel-by-sayaji-bhopal.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=981392305_370412517_2_42_0&highlighted_blocks=981392305_370412517_2_42_0&matching_block_id=981392305_370412517_2_42_0&sr_pri_blocks=981392305_370412517_2_42_0__405000&from=searchresults
Super Collection O MP Nagar,Bhopal,"1,404",Fabulous ,8.7,184 reviews,https://www.booking.com/hotel/in/oyo-24646-gaurav-palace.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=1250520801_397854646_2_0_0&highlighted_blocks=1250520801_397854646_2_0_0&matching_block_id=1250520801_397854646_2_0_0&sr_pri_blocks=1250520801_397854646_2_0_0__140433&from=searchresults
Noor-Us-Sabah Palace,Bhopal,"7,500",Review score ,6.6,73 reviews,https://www.booking.com/hotel/in/noor-us-sabah-palace.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=104082901_119974162_2_1_0&highlighted_blocks=104082901_119974162_2_1_0&matching_block_id=104082901_119974162_2_1_0&sr_pri_blocks=104082901_119974162_2_1_0__750000&from=searchresults
FabHotel Oasis Yellow Courtyard,Bhopal,"1,468",Very good ,8.0,764 reviews,https://www.booking.com/hotel/in/townhouse-713-oasis-yellow-courtyard.en-gb.html?label=en-in-booking-desktop-SoQWfYhAMBURf0HSQntj1AS652796016141%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9303999%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-04-12&checkout=2025-04-13&dest_id=-2091670&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=8a291795722f02e0&srepoch=1744168876&all_sr_blocks=798907904_410205186_2_2_0_879725&highlighted_blocks=798907904_410205186_2_2_0_879725&matching_block_id=798907904_410205186_2_2_0_879725&sr_pri_blocks=798907904_410205186_2_2_0_879725_146788&from=searchresults
